#{"t_start": 1767065347.804197, "env_id": "None"}
r,l,t
-439.503969,50,7.489471
-330.75472,50,14.191463
-172.123665,50,22.177849
-160.688737,50,30.444118
-188.350171,50,38.599084
-170.024983,50,46.823838
-171.764401,50,54.618793
-178.28773,50,61.534922
-130.039744,50,68.738322
-161.621929,50,76.76662
-151.08191,50,83.858838
-151.799947,50,90.93362
-155.013491,50,98.305435
-145.130484,50,105.237651
-140.006212,50,112.474039
-125.644337,50,119.41615
-143.247833,50,126.61268
-123.984294,50,134.039353
-134.186556,50,141.113291
-539.600108,15,143.40014
-138.573807,50,155.234296
-138.573807,50,161.969855
-138.573807,50,168.51247
-138.573807,50,175.2209
-138.573807,50,182.417646
-139.912294,50,190.482332
-123.739992,50,198.436924
-134.632937,50,206.267881
-126.865657,50,214.002766
-129.614592,50,222.024653
-145.265521,50,229.970349
-154.64189,50,237.993687
-118.291923,50,245.779305
-146.066065,50,253.919921
-128.918952,50,261.046223
-136.938934,50,268.550329
-136.682895,50,275.645427
-138.072135,50,282.790772
-123.37756,50,289.969337
-143.831185,50,297.029903
-131.203722,50,303.911659
-140.717361,50,311.699128
-135.414668,50,318.648078
-129.1127,50,325.660233
-127.379355,50,332.422483
-133.12935,50,338.910517
-133.12935,50,345.231911
-133.12935,50,351.81889
-133.12935,50,358.448568
-133.12935,50,366.144658
-138.858897,50,373.13487
-137.024287,50,380.233342
-130.235265,50,388.476858
-129.31147,50,395.570784
-127.26955,50,402.657004
-133.700729,50,409.63908
-109.412938,50,416.412053
-119.283583,50,423.247973
-142.577315,50,430.423
-136.794397,50,437.872974
-116.875049,50,444.890552
-132.900524,50,452.998468
-140.789352,50,459.968841
-116.680771,50,467.051866
-134.016205,50,473.901777
-130.572587,50,480.763846
-135.160367,50,487.895189
-131.191244,50,495.155842
-125.953024,50,502.037909
-121.072095,50,508.877467
-126.432798,50,515.372271
-126.432798,50,521.816788
-126.432798,50,528.293867
-126.432798,50,534.723705
-126.432798,50,541.14716
-115.591412,50,548.035718
-126.768869,50,554.973884
-128.014595,50,561.836827
-121.953915,50,568.77139
-107.412664,50,575.908996
-129.777219,50,582.958439
-119.035679,50,589.821928
-127.79305,50,596.694534
-122.226544,50,603.504719
-130.168753,50,610.387937
-120.526781,50,617.339593
-127.141805,50,624.303252
-131.345577,50,631.068055
-127.711981,50,638.000526
-113.445894,50,645.032899
-143.183138,50,651.854865
-108.776144,50,658.976394
-114.773297,50,665.962072
-127.292792,50,673.138183
-121.65574,50,680.227353
-109.493385,50,686.731211
-109.493385,50,693.177611
-109.493385,50,699.522706
-109.493385,50,706.095628
-109.493385,50,712.449903
-122.45453,50,719.445622
-116.176794,50,726.427511
-109.930093,50,733.273359
-108.320634,50,740.136099
-104.090128,50,747.032791
-111.795701,50,753.963226
-103.79983,50,760.921496
-104.723544,50,767.993595
-105.556408,50,774.76793
-126.619762,50,781.615412
-106.35464,50,788.552917
-108.791405,50,795.482613
-112.289699,50,802.394512
-105.556743,50,809.21965
-110.024828,50,816.068209
-147.012849,50,822.875417
-117.453393,50,829.753649
-105.277183,50,836.613129
-113.624576,50,844.126433
-110.322627,50,851.308843
-98.989367,50,858.173428
-98.989367,50,864.670088
-98.989367,50,871.172593
-98.989367,50,877.550866
-98.989367,50,884.203185
-98.989367,50,891.207937
